english,polish,ID
ambiguity,dwuznaczność,2
forensic,kryminalistycznych,3
spared,oszczędzony,4
deteriorating,pogarszający się,5
revamping,przebudowa,6
"diversity, equity, and inclusion","różnorodność, równość i integracja",7
conduct,przeprowadzić,8
concatenate,powiązać,9
trigger,wyzwalacz,10
sustain,ponieść,11
wackos,wariaci,12
concealment,ukrywanie,13
concealed,ukryty,14
spacey,kosmiczny,15
unsatisfied.,niezadowolony.,16
affirmative,twierdzący,17
the caveat of the competition,zastrzeżenie dotyczące konkurencji,18
retard alert,ostrzeżenie dla debili,19
"despite strict gun laws, the western balkans, composed of serbia, montenegro, bosnia, albania, kosovo and north macedonia, remain awash with weapons. most are from the wars in the 1990s, but some date back even to world war one.","pomimo surowych przepisów dotyczących broni, bałkany zachodnie, składające się z serbii, czarnogóry, bośni, albanii, kosowa i macedonii północnej, wciąż są zalane bronią. większość pochodzi z wojen z lat 90., ale niektóre sięgają nawet czasów i wojny światowej.",20
parasite,pasożyt,21
callous,nieczuły,22
we should say any wiggle room whatsoever,"powinniśmy powiedzieć, że mamy jakiekolwiek pole manewru",23
why he's gonna withhold judgment steer clear of all this stuff,"dlaczego powstrzyma się od osądu, trzymaj się z daleka od tego wszystkiego",24
his predecessor and now successor,"jego poprzednik, a teraz następca",25
take a hands-off,nie dotykać,26
by upending,przez wywrócenie,27
head off any,odgoń każdego,28
travel to retreat,podróż w celu wycofania się,29
duvet,kołdra,30
pinnacle,szczyt,31
pinnacle of success,szczyt sukcesu,32
"if you fear death, why do you pursue death?","jeśli boisz się śmierci, dlaczego ją gonisz?",33
she also had a cryptic pregnancy,miała także tajemniczą ciążę,34
"reason 1: productivity could skyrocket.

we’ve been forcing ourselves into unnatural work patterns.

siffre’s findings suggest we’d be more productive with longer bursts of focus followed by deeper rest.

the 9-to-5 grind may be holding us back more than we know.","powód 1: produktywność może gwałtownie wzrosnąć.

zmuszamy się do nienaturalnych wzorców pracy.

odkrycia siffre'a sugerują, że bylibyśmy bardziej produktywni, gdyby okresy skupienia były dłuższe, a następnie nastąpił głębszy odpoczynek.

harmonia od 9 do 5 może nas powstrzymywać bardziej, niż nam się wydaje.",35
heaped” tablespoon,łyżka stołowa czubata,36
leapt,skoczył,37
but also why your perspective is valid,ale także dlaczego twoja perspektywa jest słuszna,38
evidence is circumstantial and does not definitively prove guilt.,dowody są poszlakowe i nie dowodzą ostatecznie winy.,39
deviated septum,odchylona przegroda,40
submit move,prześlij ruch,41
implied,ukryty,42
enhance,wzmacniać,43
"women's sexual desire is significantly higher than men's.

as chanakya said

women are twice as hungry (2x), 

shyness fourfold (4x), 

audacity sixfold (6x) 

and lust eight times (8x)","pożądanie seksualne kobiet jest znacznie wyższe niż mężczyzn.

jak powiedział chanakya

kobiety są dwa razy bardziej głodne (2x), 

nieśmiałe czterokrotnie (4x), 

odważne sześciokrotnie (6x) 

a pożądanie osiem razy (8x)",44
parse it,przetworzyć to,45
before it tries to parse it,zanim spróbuje to przeanalizować,46
we need to dismiss all of these modal pop-ups.,musimy zamknąć wszystkie te wyskakujące okienka.,47
"lenient laws on juvenile crime,","łagodne prawo dotyczące przestępczości nieletnich,",48
scold,nakrzyczeć,49
preventable,można zapobiec,50
throwaway,wyrzucać,51
exhausted,wyczerpany,52
munitions,amunicja,53
altering,zmiana,54
attainable attainable,osiągalny osiągalny,55
revenue,przychód,56
enhance interrogation technique,udoskonalić technikę przesłuchań,57
make it on time,zdążyć,58
distortion,zniekształcenie,59
collateral against the victim,zabezpieczenie przeciwko ofierze,60
illicit,nielegalny,61
ruth,litość,62
scooted,skoki,63
squinting when reading,mrużenie oczu podczas czytania,64
"you'll see the atom editor in some of the videos, this software is now being sunsetted by github and in the coming months all the videos will update to use vs code. but if you hear me say ""open atom"" or ""inside the atom editor do..."" just know that you should now use vs code.","w niektórych filmach zobaczysz edytor atom, to oprogramowanie jest obecnie wycofywane przez github, a w nadchodzących miesiącach wszystkie filmy zostaną zaktualizowane, aby używać vs code. ale jeśli usłyszysz, jak mówię „otwórz atom” lub „wewnątrz edytora atom zrób...” wiedz, że powinieneś teraz używać vs code.",65
mitten,rękawica,66
persevered,wytrwały,67
swish,śmigać,68
gripping pages,strony trzymające w napięciu,69
token have surget,token ma wzrost,70
surget,wzburzyć,71
defiant,wyzywający,72
"should tumble and fall
or the mountains
should crumble to the sea","powinny się przewrócić i spaść
albo góry
powinny się rozsypać do morza",73
a girls body in china was riddled with parasites after eating raw pork for 10 years,ciało dziewczynki w chinach było pełne pasożytów po 10 latach jedzenia surowej wieprzowiny,74
"i know this yarn that’s being spun in this hall that he was popular and selfless and handing on. no, no, no. it is the opposite, and everybody knows it","wiem, że ta historia, która jest opowiadana w tej sali, że był popularny, bezinteresowny i przekazywał dalej. nie, nie, nie. jest odwrotnie i każdy to wie.",75
i sustained an injury i simply couldn’t recover from,"doznałem urazu, z którego po prostu nie mogłem się wyleczyć",76
come up with,wymyślić,77
"donald trump is a dumb person's idea of a smart person, and a poor person's idea of a rich person.","donald trump jest dla głupca wyobrażeniem osoby mądrej, a dla biedaka wyobrażeniem osoby bogatej.",78
whiskers,wąsy,79
parse,analizować,80
she was able to recite.,potrafiła recytować.,81
inadvertently,nieumyślnie,82
because he waived his inheritance,ponieważ zrzekł się swojego dziedzictwa,83
javelin,oszczep,84
to be dope,być zajebistym,85
equestrian,konny,86
what can’t be unburdened by what has been,"czego nie można odciążyć tym, co było",87
"law enforcement sources contradict the secret service, detailing a lack of local police presence in the building.","źródła organów ścigania zaprzeczają secret service, podając szczegóły dotyczące braku obecności lokalnej policji w budynku.",88
disastrous,fatalny,89
decisive enabler’,decydujący czynnik umożliwiający”,90
outskirts,peryferie,91
some kind of layup,jakiś układ,92
staggered pattern.,wzór schodkowy.,93
"including extreme sedation, respiratory depression, addiction, coma, and death.","łącznie z ekstremalną sedacją, depresją oddechową, uzależnieniem, śpiączką i śmiercią.",94
slange,hose,95
abduction,uprowadzenie,96
getting hitchhiked,zlapanie stopa,97
plane hijacking,porwanie samolotu,98
your sleep apnea,twój bezdech senny,99
malfunction,awaria,100
juvenile,nieletni,101
shins,golenie,102
comply,zastosować się,103
encampment,obozowisko,104
divest,pozbyć się,105
it's done beyond the pale,to jest zrobione nie do poznania,106
bundlet,pakiet,107
reconcile,pogodzić,108
omnivore,wszystkożerny,109
weaponization,uzbrojenie,110
lesions,uszkodzenia,111
it's so audacious.,to takie odważne.,112
"“she discharged her firearm, and that person is now deceased",„wystrzeliła z broni palnej i ta osoba nie żyje,113
and it can be learnt,i tego można się nauczyć,114
diffs,różnice,115
then that week will feel really substantial,wtedy ten tydzień będzie naprawdę znaczący,116
mock women,kpić z kobiet,117
bloodwork,morfologia krwi,118
arson,podpalenie,119
expand,zwiększać,120
canvas,płótno,121
contradiction,motsigelse,122
heiress,dziedziczka,123
slug,mordersnegle,124
slug,ślimak,125
snap down,zatrzaśnij się,126
dispensed,wydawane,127
turmoil,zamieszanie,128
should be immune from any criticism,powinien być odporny na jakąkolwiek krytykę,129
wobbly,chwiejny,130
spineless joe biden is inching toward a full betrayal of israel,bezkręgowy joe biden zmierza w stronę całkowitej zdrady izraela,131
issuance,wydanie,132
capstone,zwieńczenie,133
siphoned,wyssany,134
indictment,akt oskarżenia,135
deed,czyn,136
revelation,objawienie,137
paw prints,odciski łap,138
ayala was born with a distinctive high-pitched voice,ayala urodziła się z charakterystycznym wysokim głosem,139
cog,koło zębate,140
what is the average air speed velocity of laden swallow,jaka jest średnia prędkość lotu obciążonej jaskółki,141
irrelevant,nieistotny,142
thaw,odwilż,143
indentation,wcięcie,144
atrocities,okrucieństwa,145
edemas,obrzęki,146
shrapnel,szrapnel,147
open gash,otwarta rana,148
shuttered,zamknięte,149
he goes into his spaced-out mode,przechodzi w swój tryb rozproszony,150
"fury likes to be the captain of his own ship, and he thinks the whole world revolves around what he says, and for a time, it definitely did","fury lubi być kapitanem własnego statku i uważa, że ​​cały świat kręci się wokół tego, co mówi, i przez jakiś czas zdecydowanie tak było",151
"age, weight gain, and soft living robbed fury of his ability to move, and he now depends on his size to maul the opposition that his management digs up for him","wiek, przyrost masy ciała i wygodne życie pozbawiły fury'ego możliwości poruszania się i teraz polega na swoim rozmiarze, aby pokonać przeciwników, których szuka dla niego jego kierownictwo",152
foot the bill,wybulić forsę,153
sanity,zdrowy rozsądek,154
vanities,próżności,155
take them off of upwork,zdejmij ich z pracy,156
misery and indignity,nędza i poniżenie,157
for curbing population growth,w celu ograniczenia wzrostu populacji,158
but let’s avoid the rose-tinted glasses,unikajmy jednak różowych okularów,159
of modern contraceptives,nowoczesnych środków antykoncepcyjnych,160
impersonated soldier,podszywający się pod żołnierza,161
headed commission,kierował komisją,162
friction,tarcie,163
retaliates,bierze odwet,164
gobble,pożerać,165
perks,gratisy,166
pillaging,plądrowanie,167
terminate,zakończyć,168
belligerents,wojownicze,169
mansion,rezydencja,170
grand theft,wielka kradzież,171
attacked by neighbor in assault,zaatakowany przez sąsiada podczas napaści,172
harassed,prześladowany,173
dwellers,mieszkańcy,174
"self-defense can be fierce because the brain goes into survival mode, and that fear response is sadly heightened for unhoused people, like mr. doty, who live in constant exposure","samoobrona może być zaciekła, ponieważ mózg przechodzi w tryb przetrwania, a reakcja strachu jest niestety wzmożona w przypadku osób bezdomnych, takich jak pan doty, którzy żyją w ciągłym narażeniu.",175
serfdom,panszczyzna,176
jackal,szakal,177
fistful,garść,178
fizzled,wygasło,179
swollen shut,"spuchnięty, zamknięty",180
adultery,cudzołóstwo,181
wack,gówno,182
radiation exposure,narażenie na promieniowanie,183
he was angered by zionist refusals to cooperate with arabs,rozgniewał go syjonistyczny odmowa współpracy z arabami,184
the first secret zionist report about him refers to his ranting anti-arab remarks made at a party,pierwszy tajny raport syjonistyczny na jego temat odnosi się do jego tyrady antyarabskiej wygłaszanej na przyjęciu,185
ardent,żarliwy,186
one might call it a natural habitat for this cranky man,można by nazwać to naturalnym środowiskiem tego zrzędliwego mężczyzny,187
false modesty was never one of his faults,fałszywa skromność nigdy nie była jego wadą,188
collateral of damage,zabezpieczenie szkody,189
evade,uchylać się,190
conduct,prowadzić,191
treacherous,zdradziecki,192
cartilage in the knee,chrząstka w kolanie,193
valve,zawór,194
bailing water out,odprowadzanie wody,195
was the heir apparent to the late steve jobs.,był następcą zmarłego steve’a jobsa.,196
makeover,metamorfoza,197
has been reassessing her public,ponownie oceniła swoją publiczność,198
pleading with,błagając,199
devote,poświęcać,200
atrocity,okrucieństwo,201
try to weasle my way,spróbuj oszukać swoją drogę,202
it was jarring to see the scene of the massacre,widok sceny masakry był wstrząsający,203
extremely harsh on,niezwykle surowy,204
they were eternally indebted to the soviet union,byli wiecznie dłużni związkowi radzieckiemu,205
flop,brzdęknięcie,206
complex,złożony,207
fortsatt tilgjengelig,wciąż dostępne,208
flip off,odwróć się,209
pump your dum,pompuj dupę,210
need to chug mickey,muszę wypić mickeya,211
was passed out puking by,"stracił przytomność, wymiotując",212
skinny teas,chude herbaty,213
surge,przypływ,214
duped,oszukany,215
courageous,odważny,216
surge,wzrost,217
centenarians,stulatkowie,218
ourlive the odds,żyjemy zgodnie z szansami,219
stellar,gwiezdny,220
malicious walk-off,złośliwe odejście,221
set to feature,ustawić jako funkcję,222
leapfrogged,przeskoczył,223
heresy,herezja,224
infidels,niewierni,225
contradiction,sprzeczność,226
disposable,jednorazowy,227
disposable,jednorazowe,228
breadwinner,żywiciel,229
intimidated,zastraszony,230
look up to,szanować,231
lay out,układ,232
nutjob,wariat,233
deflect,odwracać,234
fend off,odparować,235
verdant,zielenisty,236
left this barren dump,opuścił to jałowe wysypisko,237
allotted time.,przydzielony czas.,238
scent,zapach,239
scent of a woman,zapach kobiety,240
remove her cape,usuń jej pelerynę,241
embalming,balsamowanie,242
exploid,wybuchowy,243
delt a setback,ponieś porażkę,244
"89-modell til salgs
kjørt ca 90.000km
i god stand, et par bulker her og der
lite rust
alle servicer gjennomført
ettertraktet modell
kun prøvekjørt
ser etter min siste eier","do sprzedania model 89
przejechane ok. 90 000 km
w dobrym stanie, kilka wgnieceń tu i ówdzie
mała rdza
wszystkie usługi wykonane
pożądany model
tylko jazda próbna
szukam mojego ostatniego właściciela",245
"“it’s beyond what anyone would ever want to imagine, much less actually see and, god forbid, experience,” he said","„to wykracza poza to, co ktokolwiek chciałby sobie wyobrazić, a tym bardziej zobaczyć i, nie daj boże, doświadczyć” – powiedział",246
"during a press availability, blinken became emotional describing seeing the images of the victims of the hamas attack that “almost defies comprehension.”","podczas wystąpienia prasowego blinken wzruszył się, opisując obrazy ofiar ataku hamasu, które „prawie nie dają się zrozumieć”.",247
underscore the utter depravity,podkreślić całkowitą deprawację,248
for all things meaningful and substantial,"o wszystko, co znaczące i istotne",249
suffocated,uduszony,250
suffocated,udusił się,251
robust,krzepki,252
hijackers,porywacze,253
resembling,podobny,254
recuring,powtarzający się,255
flaws,wady,256
gorge,wąwóz,257
bulky,gruby,258
hurdle,przeszkoda,259
unsettled,zaburzony,260
infantry,piechota,261
heinous,haniebny,262
jaywalking,przechodzenie przez jezdnię,263
boulder,otoczak,264
beef broth,rosół wołowy,265
imagine faculty,wyobraźcie sobie wydział,266
tb-500 is for injection. it can be administered intramuscularly or subcutaneously.,tb-500 jest przeznaczony do wstrzykiwań. można go podawać domięśniowo lub podskórnie.,267
ambigues,niejasności,268
tendons,ścięgna,269
angiogenesis,angiogeneza,270
wolvering,rosomak,271
compile,skompilować,272
drenched,wymokły,273
clout,klaps,274
caveats,zastrzeżenia,275
thrive,prosperować,276
muffled,stłumiony,277
body patching up,łatanie ciała,278
psyched,psychodeliczny,279
thongs,klapki,280
parage,parodia,281
recounted,opowiedział,282
evading,unikanie,283
fugitive,zbieg,284
per feature,na funkcję,285
rejoice,radować się,286
teal color,kolor morski,287
scuffed,porysowany,288
scrub,szorować,289
reckon,myśleć,290
for clout,dla przewagi,291
fortnight,dwa tygodnie,292
rightclick on the column headers to toggle columns,"kliknij prawym przyciskiem myszy nagłówki kolumn, aby przełączać kolumny",293
dashed line,linia przerywana,294
seldom,rzadko,295
contained,zawarte,296
"more bad news is sometimes due to better surveillance of suffering, not a worsening world","więcej złych wiadomości wynika czasem z lepszego nadzoru nad cierpieniem, a nie z pogarszającego się świata",297
perseverance,wytrwałość,298
global burden of disease,globalne obciążenie chorobami,299
when we hang on to a rose-tinted version of history,kiedy trzymamy się zabarwionej na różowo wersji historii,300
bad and better,zły i lepszy,301
the loss of hope is probably the most devastating consequence of the negativity instinct and the ignorance it causes,utrata nadziei jest prawdopodobnie najbardziej niszczycielską konsekwencją instynktu negatywności i powodowanej przez niego ignorancji,302
supporting drastic measures,popieranie drastycznych środków,303
male chauvinists,męskich szowinistów,304
illusion of constant deterioration.,iluzja ciągłego pogarszania się.,305
zapping through tv channels,skakanie po kanałach telewizyjnych,306
sickle,sierp,307
discharge,wypisać,308
prerogative,przywilej,309
mercifully,miłosiernie,310
robust,solidny,311
frostbite,odmrożenie,312
leisure time,czas wolny,313
intrinsic,wewnętrzny,314
stemming,przybitka,315
surveillance,nadzór,316
knackered,wykończony,317
whittling,struganie,318
manslaughter,zabójstwo,319
a bit full on,trochę na full,320
palled,blady,321
peculiar,osobliwy,322
inevriated,nietrzeźwy,323
insatiable,nienasycony,324
frizzed-up hair,potargane włosy,325
persecuting,prześladować,326
twiling,zmierzch,327
hold yourself accountable,uważaj się za odpowiedzialnego,328
build momentum,budować rozmach,329
manageable task,wykonalne zadanie,330
follow-up plan,plan kontynuacji,331
noe gikk galt,something went wrong,332
bilk,uchylać się od zapłaty,333
give a statement,złożyć oświadczenie,334
recanted,odwołał,335
stay off my team,trzymaj się z dala od mojej drużyny,336
shepherd,pasterz,337
sow discord,wichrzyć,338
leaped,przeskoczył,339
former,dawny,340
prodigal,marnotrawny,341
trashy hos,tandetny hoss,342
protecting biodiversity,ochrona różnorodności biologicznej,343
tortoise,żółw,344
noobs,nooby,345
its time out care,jego czas na opiekę,346
fry your wheel,usmaż swoje koło,347
granby roll,rolada granby'ego,348
tumbling,koziołkujący,349
stuble upon,potknąć się,350
cartwheel,koło wozu,351
boolean,logiczna,352
lads turn up,pojawiają się chłopcy,353
slender build,szczupła budowa,354
resources in your neck of the woods,zasobów w twojej okolicy,355
tourniquet,opaska zaciskająca,356
asphyxiation,uduszenie się,357
avalanche,lawina,358
deprivation due to smothering,pozbawienie z powodu uduszenia,359
see fumes,patrz opary,360
tailpipe,rura wydechowa,361
carbon monoxide,tlenek węgla,362
ruogh,surowy,363
rogue,łobuz,364
girth,obwód,365
"scrotum, and perineum",mosznę i krocze,366
if it's yellow let it mellow,"jeśli jest żółte, pozwól mu zmięknąć",367
umami,umami,368
ripping off,oderwanie,369
penny pincher,dusigrosz,370
pastry,ciasto,371
highly volatile,wysoce niestabilny,372
soggy,rozmoczony,373
sludgy,mulisty,374
voluntary,dobrowolny,375
devotion,poświęcenie,376
surpasses,przewyższa,377
distorts,zniekształca,378
converging,zbieżny,379
villains,złoczyńcy,380
scalding,oparzenie,381
tepid,chłodny,382
inkling,poczucie,383
semimembranosus,półbłoniasty,384
tipped off,dał cynk,385
ample,obszerny,386
commence,rozpocząć,387
prone,skłonny,388
refrain,refren,389
compel,zmusić,390
european central bank tells ministers some eu banks could be vulnerable,"europejski bank centralny mówi ministrom, że niektóre banki w ue mogą być podatne na ataki",391
embraced #crypto customers with insufficient safeguards,objął klientów #crypto z niewystarczającymi zabezpieczeniami,392
pulling up to the port,podjeżdżając do portu,393
i groaned inwardly,jęknęłam w duchu,394
such a breeze,taki powiew,395
heartburn,zgaga,396
insolent,bezczelny,397
tried for murder,sądzony za morderstwo,398
wherein,w której,399
you didn't go to failure,nie poszedłeś na łatwiznę,400
ballpark,przybliżony zakres,401
disregard,lekceważenie,402
outbite,przechytrzyć,403
ferret,fretka,404
weasel,łasica,405
arugula,rukola,406
alleging retaliation,rzekomy odwet,407
overcome adversity,pokonać przeciwności losu,408
i crapped out,zesrałem się,409
hunch,przeczucie,410
strand,pasmo,411
farewell letter,list pożegnalny,412
"to sustain the notion of lansky as king of all evil, the brains, the secret mover, the inspirer and controller of american organized crime","podtrzymać pogląd lansky'ego jako króla wszelkiego zła, mózgu, tajnego inicjatora, inspiratora i kontrolera amerykańskiej przestępczości zorganizowanej",413
"his inability to pay for health care for his handicapped son,","niemożność opłacenia opieki zdrowotnej dla niepełnosprawnego syna,",414
invulnerable,nie do zranienia,415
invulnerable,niewrażliwy,416
stunt,popis kaskaderski,417
broad,szeroki,418
fossils,skamieniałości,419
land masses,masy lądowe,420
turn out,okazać się,421
prune away,odciąć,422
spaced repetition,powtórzenia w odstępach,423
substantially,istotnie,424
retain,zachować,425
dissipating,rozpraszanie,426
keep up with your peers,nadążaj za rówieśnikami,427
that twilight,ten zmierzch,428
diffuse,rozproszony,429
solitary walk,samotny spacer,430
i skim first,najpierw przemykam,431
the octopus,ośmiornica,432
focused vs diffuse thinking,myślenie skupione a rozproszone,433
we just need to master the lingo and culture,musimy tylko opanować żargon i kulturę,434
i was made to enroll,kazano mi się zapisać,435
we fudged the data,sfałszowaliśmy dane,436
wicked stepmather,zła macocha,437
preconceived ideas,z góry przyjęte pomysły,438
beetle,zuk,439
compounds,związki,440
association,skojarzenie,441
committed,zaangażowany,442
peed,sikać,443
limber,zwinny,444
"it was commissioned by the provisional government of spain at goya's suggestion.

",został zamówiony przez tymczasowy rząd hiszpanii na sugestię goi.,445
infatuation,zaślepienie,446
fox filed to dismiss the divorc,fox złożył wniosek o oddalenie rozwodu,447
start bulking,zacznij masować,448
odds,szanse,449
he suffers from constipation and asks for a laxative,cierpi na zaparcia i prosi o środek przeczyszczający,450
the days have turned into heavy burdens that i am sentenced to carry,"dni zamieniły się w ciężkie brzemię, na którego noszenie jestem skazany",451
nauseated me,przyprawiało mnie o mdłości,452
complex of marshes that straddle,"kompleks bagien, które leżą okrakiem",453
interrogator,przesłuchujący,454
you stained the car,zabrudziłeś samochód,455
groan,jęk,456
convey,przekazywać,457
seemingly put out,pozornie wystawiony,458
through its intimate anecdotes,poprzez intymne anegdoty,459
"and on whom they are inflicted, and when","i na kogo są nakładane, i kiedy",460
interrogators,przesłuchujący,461
alongside several contemporaries,obok kilku współczesnych,462
municipality,miasto,463
bystander,widz,464
reckon not thou those slain in the way of god to be dead,"nie uważaj tych, którzy zostali zabici na drodze boga, za umarłych",465
comprehesive,wyczerpujący,466
deceased from the fall,zmarł od upadku,467
i have appeared,pojawiłem się,468
utmost sincerity,najszczersza szczerość,469
nefarious,nikczemny,470
behest,rozkaz,471
appears,pojawia się,472
appeal,odwołanie,473
harsher,ostrzejsze,474
opted,zdecydowałem się,475
moped,motorower,476
entitled,zatytułowany,477
adheres,przylega,478
culprit,winowajca,479
obstructed or constricted,zatkany lub zwężony,480
insert,wstawić,481
harsly,szorstko,482
ledges,półki,483
anticipated,oczekiwany,484
look forward,czekamy,485
rubble,gruz,486
truce,rozejm,487
repay it,spłacić to,488
fallacy,błąd,489
linger,marudzić,490
revoke,unieważnić,491
lateral,boczny,492
cadaver,zwłoki,493
podiatrist,podolog,494
convicted,skazany,495
chancy,ryzykowny,496
that void,ta pustka,497
exision,wycięcie,498
asymptomatic,bezobjawowy,499
laterally,bocznie,500
made us both turn,"sprawił, że oboje się odwróciliśmy",501
presumably,prawdopodobnie,502
township clerk,urzędnik gminny,503
township,parafia,504
playfully,figlarnie,505
diligent,staranny,506
not reimburse,nie zwrócić,507
longing,tęsknota,508
